home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","39,500",,MLB
TB,TOR,0,2016,Tropicana Field,"St. Petersburg, Florida","31,042",,MLB
KC,NYM,1,2016,Kauffman Stadium,"Kansas City, Missouri","40,030",,MLB
MIL,SF,0,2016,Miller Park,"Milwaukee, Wisconsin","44,318",,MLB
BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","45,785",,MLB
TEX,SEA,1,2016,Globe Life Park in Arlington,"Arlington, Texas","49,289",,MLB
ATL,WSH,0,2016,Center Parc Stadium,"Atlanta, Georgia","48,282",,MLB
CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","43,683",,MLB
SD,LAD,0,2016,Petco Park,"San Diego, California","44,317",,MLB
TB,TOR,0,2016,Tropicana Field,"St. Petersburg, Florida","15,116",,MLB
ARI,COL,0,2016,Chase Field,"Phoenix, Arizona","48,165",,MLB
LAA,CHC,0,2016,Angel Stadium,"Anaheim, California","44,020",,MLB
OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","35,067",,MLB
NYY,HOU,0,2016,Yankee Stadium,"Bronx, New York","47,820",,MLB
CLE,BOS,0,2016,Progressive Field,"Cleveland, Ohio","34,493",,MLB
KC,NYM,0,2016,Kauffman Stadium,"Kansas City, Missouri","39,782",,MLB
PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","26,049",,MLB
MIA,DET,0,2016,Marlins Park,"Miami, Florida","36,911",,MLB
TB,TOR,1,2016,Tropicana Field,"St. Petersburg, Florida","12,757",,MLB
TEX,SEA,0,2016,Globe Life Park in Arlington,"Arlington, Texas","28,386",,MLB
MIL,SF,0,2016,Miller Park,"Milwaukee, Wisconsin","24,123",,MLB
ARI,COL,1,2016,Chase Field,"Phoenix, Arizona","21,830",,MLB
LAA,CHC,0,2016,Angel Stadium,"Anaheim, California","37,042",,MLB
OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","10,478",,MLB
SD,LAD,0,2016,Petco Park,"San Diego, California","28,329",,MLB
TB,TOR,1,2016,Tropicana Field,"St. Petersburg, Florida","14,257",,MLB
MIL,SF,1,2016,Miller Park,"Milwaukee, Wisconsin","20,098",,MLB
TEX,SEA,0,2016,Globe Life Park in Arlington,"Arlington, Texas","26,945",,MLB
ARI,COL,0,2016,Chase Field,"Phoenix, Arizona","18,572",,MLB
MIA,DET,0,2016,Marlins Park,"Miami, Florida","17,883",,MLB
CLE,BOS,1,2016,Progressive Field,"Cleveland, Ohio","10,298",,MLB
CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","21,621",,MLB
BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","12,622",,MLB
NYY,HOU,1,2016,Yankee Stadium,"Bronx, New York","37,493",,MLB
PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","14,890",,MLB
ATL,WSH,0,2016,Center Parc Stadium,"Atlanta, Georgia","18,531",,MLB
SD,LAD,0,2016,Petco Park,"San Diego, California","30,054",,MLB
OAK,CHW,1,2016,Oakland Coliseum,"Oakland, California","16,468",,MLB
CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","10,784",,MLB
OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","12,577",,MLB
NYY,HOU,1,2016,Yankee Stadium,"Bronx, New York","30,003",,MLB
WSH,MIA,0,2016,Nationals Park,"Washington, D.C.","41,650",,MLB
SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,940",,MLB
BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","11,142",,MLB
ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","24,656",,MLB
LAA,TEX,1,2016,Angel Stadium,"Anaheim, California","39,089",,MLB
DET,NYY,1,2016,Comerica Park,"Detroit, Michigan","45,049",,MLB
NYM,PHI,1,2016,Citi Field,"Queens, New York","44,099",,MLB
CHW,CLE,0,2016,Guaranteed Rate Field,"Chicago, Illinois","38,019",,MLB
COL,SD,0,2016,Coors Field,"Denver, Colorado","49,360",,MLB
BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","17,304",,MLB
TOR,BOS,0,2016,Rogers Centre,"Toronto, Ontario","48,871",,MLB
CIN,PIT,0,2016,Great American Ball Park,"Cincinnati, Ohio","17,194",,MLB
ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","24,824",,MLB
MIL,HOU,1,2016,Miller Park,"Milwaukee, Wisconsin","30,100",,MLB
KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","27,166",,MLB
ARI,CHC,1,2016,Chase Field,"Phoenix, Arizona","27,539",,MLB
LAA,TEX,0,2016,Angel Stadium,"Anaheim, California","35,207",,MLB
SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","47,065",,MLB
SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,742",,MLB
TOR,BOS,0,2016,Rogers Centre,"Toronto, Ontario","47,138",,MLB
DET,NYY,0,2016,Comerica Park,"Detroit, Michigan","32,419",,MLB
CIN,PIT,1,2016,Great American Ball Park,"Cincinnati, Ohio","22,799",,MLB
CHW,CLE,1,2016,Guaranteed Rate Field,"Chicago, Illinois","20,192",,MLB
SF,LAD,0,2016,Oracle Park,"San Francisco, California","41,224",,MLB
MIL,HOU,0,2016,Miller Park,"Milwaukee, Wisconsin","28,127",,MLB
ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","33,471",,MLB
NYM,PHI,0,2016,Citi Field,"Queens, New York","37,083",,MLB
KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","31,001",,MLB
COL,SD,0,2016,Coors Field,"Denver, Colorado","35,177",,MLB
ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","32,185",,MLB
LAA,TEX,0,2016,Angel Stadium,"Anaheim, California","38,106",,MLB
SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","36,424",,MLB
TOR,BOS,1,2016,Rogers Centre,"Toronto, Ontario","46,158",,MLB
CIN,PIT,1,2016,Great American Ball Park,"Cincinnati, Ohio","27,207",,MLB
NYM,PHI,0,2016,Citi Field,"Queens, New York","37,233",,MLB
BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","23,101",,MLB
ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","23,214",,MLB
WSH,MIA,1,2016,Nationals Park,"Washington, D.C.","24,593",,MLB
BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","23,101",,MLB
MIL,HOU,1,2016,Miller Park,"Milwaukee, Wisconsin","28,441",,MLB
KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","35,317",,MLB
LAA,TEX,1,2016,Angel Stadium,"Anaheim, California","35,097",,MLB
SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,656",,MLB
SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","30,834",,MLB
COL,SD,1,2016,Coors Field,"Denver, Colorado","27,587",,MLB
ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","33,258",,MLB
DET,PIT,0,2016,Comerica Park,"Detroit, Michigan","26,271",,MLB
BOS,BAL,0,2016,Fenway Park,"Boston, Massachusetts","37,160",,MLB
PHI,SD,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","45,229",,MLB
MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","40,638",,MLB
STL,MIL,1,2016,Busch Stadium,"St. Louis, Missouri","47,608",,MLB
NYM,MIA,0,2016,Citi Field,"Queens, New York","24,318",,MLB
WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","18,119",,MLB
CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","40,882",,MLB
HOU,KC,1,2016,Minute Maid Park,"Houston, Texas","43,332",,MLB
OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","13,371",,MLB
SEA,TEX,0,2016,T-Mobile Park,"Seattle, Washington","13,468",,MLB
DET,PIT,1,2016,Comerica Park,"Detroit, Michigan","26,489",,MLB
LAD,ARI,0,2016,Dodger Stadium,"Los Angeles, California","53,279",,MLB
WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","18,378",,MLB
PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","21,043",,MLB
TOR,NYY,0,2016,Rogers Centre,"Toronto, Ontario","28,819",,MLB
BOS,BAL,0,2016,Fenway Park,"Boston, Massachusetts","31,114",,MLB
NYM,MIA,0,2016,Citi Field,"Queens, New York","28,923",,MLB
TB,CLE,1,2016,Tropicana Field,"St. Petersburg, Florida","10,283",,MLB
HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","21,027",,MLB
COL,SF,0,2016,Coors Field,"Denver, Colorado","20,814",,MLB
OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","13,492",,MLB
SEA,TEX,0,2016,T-Mobile Park,"Seattle, Washington","13,376",,MLB
NYM,MIA,1,2016,Citi Field,"Queens, New York","22,113",,MLB
OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","11,216",,MLB
SEA,TEX,1,2016,T-Mobile Park,"Seattle, Washington","15,075",,MLB
BOS,BAL,1,2016,Fenway Park,"Boston, Massachusetts","31,011",,MLB
WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","19,400",,MLB
PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","17,638",,MLB
PIT,DET,0,2016,PNC Park,"Pittsburgh, Pennsylvania","21,175",,MLB
TOR,NYY,1,2016,Rogers Centre,"Toronto, Ontario","27,938",,MLB
TB,CLE,0,2016,Tropicana Field,"St. Petersburg, Florida","10,117",,MLB
CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","36,496",,MLB
MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","21,008",,MLB
HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","24,109",,MLB
STL,MIL,0,2016,Busch Stadium,"St. Louis, Missouri","40,994",,MLB
COL,SF,1,2016,Coors Field,"Denver, Colorado","21,891",,MLB
LAD,ARI,1,2016,Dodger Stadium,"Los Angeles, California","44,244",,MLB
PIT,DET,0,2016,PNC Park,"Pittsburgh, Pennsylvania","18,751",,MLB
PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","18,079",,MLB
MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","19,736",,MLB
TB,CLE,0,2016,Tropicana Field,"St. Petersburg, Florida","10,715",,MLB
STL,MIL,1,2016,Busch Stadium,"St. Louis, Missouri","40,168",,MLB
COL,SF,1,2016,Coors Field,"Denver, Colorado","21,226",,MLB
WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","21,144",,MLB
TOR,NYY,1,2016,Rogers Centre,"Toronto, Ontario","36,238",,MLB
CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","34,898",,MLB
TEX,BAL,1,2016,Globe Life Park in Arlington,"Arlington, Texas","22,820",,MLB
HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","21,203",,MLB
LAD,ARI,1,2016,Dodger Stadium,"Los Angeles, California","40,879",,MLB
CHC,COL,0,2016,Wrigley Field,"Chicago, Illinois","34,437",,MLB
NYY,SEA,0,2016,Yankee Stadium,"Bronx, New York","35,531",,MLB
PHI,WSH,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","22,624",,MLB
PIT,MIL,0,2016,PNC Park,"Pittsburgh, Pennsylvania","24,280",,MLB
BOS,TOR,1,2016,Fenway Park,"Boston, Massachusetts","31,415",,MLB
CLE,NYM,0,2016,Progressive Field,"Cleveland, Ohio","15,365",,MLB
MIA,ATL,0,2016,Marlins Park,"Miami, Florida","18,071",,MLB
TB,CHW,0,2016,Tropicana Field,"St. Petersburg, Florida","16,801",,MLB
TEX,BAL,0,2016,Globe Life Park in Arlington,"Arlington, Texas","32,628",,MLB
MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","22,461",,MLB
HOU,DET,1,2016,Minute Maid Park,"Houston, Texas","30,092",,MLB
STL,CIN,1,2016,Busch Stadium,"St. Louis, Missouri","44,997",,MLB
OAK,KC,0,2016,Oakland Coliseum,"Oakland, California","19,451",,MLB
LAD,SF,1,2016,Dodger Stadium,"Los Angeles, California","53,449",,MLB
SD,ARI,0,2016,Petco Park,"San Diego, California","28,955",,MLB
NYY,SEA,0,2016,Yankee Stadium,"Bronx, New York","38,574",,MLB
MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","27,464",,MLB
STL,CIN,0,2016,Busch Stadium,"St. Louis, Missouri","44,425",,MLB
CHC,COL,1,2016,Wrigley Field,"Chicago, Illinois","41,702",,MLB
BOS,TOR,1,2016,Fenway Park,"Boston, Massachusetts","36,267",,MLB
OAK,KC,1,2016,Oakland Coliseum,"Oakland, California","25,564",,MLB
CLE,NYM,1,2016,Progressive Field,"Cleveland, Ohio","20,165",,MLB
TB,CHW,1,2016,Tropicana Field,"St. Petersburg, Florida","30,451",,MLB
PHI,WSH,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","30,320",,MLB
PIT,MIL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","34,957",,MLB
HOU,DET,0,2016,Minute Maid Park,"Houston, Texas","30,013",,MLB
MIA,ATL,0,2016,Marlins Park,"Miami, Florida","33,123",,MLB
TEX,BAL,1,2016,Globe Life Park in Arlington,"Arlington, Texas","39,493",,MLB
SD,ARI,1,2016,Petco Park,"San Diego, California","34,051",,MLB
LAD,SF,0,2016,Dodger Stadium,"Los Angeles, California","53,409",,MLB
NYY,SEA,1,2016,Yankee Stadium,"Bronx, New York","43,856",,MLB
CLE,NYM,0,2016,Progressive Field,"Cleveland, Ohio","17,621",,MLB
MIA,ATL,0,2016,Marlins Park,"Miami, Florida","24,780",,MLB
TB,CHW,1,2016,Tropicana Field,"St. Petersburg, Florida","21,810",,MLB
BOS,TOR,0,2016,Fenway Park,"Boston, Massachusetts","37,217",,MLB
PHI,WSH,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","37,378",,MLB
PIT,MIL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","31,124",,MLB
MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","25,932",,MLB
HOU,DET,1,2016,Minute Maid Park,"Houston, Texas","30,657",,MLB
STL,CIN,1,2016,Busch Stadium,"St. Louis, Missouri","46,268",,MLB
CHC,COL,0,2016,Wrigley Field,"Chicago, Illinois","41,678",,MLB
OAK,KC,1,2016,Oakland Coliseum,"Oakland, California","29,668",,MLB
SD,ARI,0,2016,Petco Park,"San Diego, California","30,520",,MLB
LAD,SF,1,2016,Dodger Stadium,"Los Angeles, California","48,911",,MLB
BOS,TOR,0,2016,Fenway Park,"Boston, Massachusetts","37,168",,MLB
PHI,NYM,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","21,585",,MLB
CIN,COL,0,2016,Great American Ball Park,"Cincinnati, Ohio","12,777",,MLB
MIA,WSH,1,2016,Marlins Park,"Miami, Florida","16,112",,MLB
STL,CHC,0,2016,Busch Stadium,"St. Louis, Missouri","45,432",,MLB
CHW,LAA,0,2016,Guaranteed Rate Field,"Chicago, Illinois","14,706",,MLB
MIN,MIL,1,2016,Target Field,"Minneapolis, Minnesota","21,078",,MLB
SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,432",,MLB
MIN,MIL,0,2016,Target Field,"Minneapolis, Minnesota","17,597",,MLB
CLE,SEA,1,2016,Progressive Field,"Cleveland, Ohio","9,393",,MLB
BAL,TOR,0,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","16,783",,MLB
NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","31,952",,MLB
PHI,NYM,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","22,417",,MLB
BOS,TB,0,2016,Fenway Park,"Boston, Massachusetts","32,061",,MLB
ATL,LAD,1,2016,Center Parc Stadium,"Atlanta, Georgia","14,160",,MLB
CIN,COL,1,2016,Great American Ball Park,"Cincinnati, Ohio","13,240",,MLB
MIA,WSH,0,2016,Marlins Park,"Miami, Florida","16,529",,MLB
KC,DET,1,2016,Kauffman Stadium,"Kansas City, Missouri","26,889",,MLB
TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","24,181",,MLB
CHW,LAA,1,2016,Guaranteed Rate Field,"Chicago, Illinois","12,093",,MLB
STL,CHC,0,2016,Busch Stadium,"St. Louis, Missouri","43,841",,MLB
SD,PIT,1,2016,Petco Park,"San Diego, California","19,449",,MLB
SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,218",,MLB
CIN,COL,1,2016,Great American Ball Park,"Cincinnati, Ohio","12,979",,MLB
STL,CHC,1,2016,Busch Stadium,"St. Louis, Missouri","43,093",,MLB
CHW,LAA,1,2016,Guaranteed Rate Field,"Chicago, Illinois","12,785",,MLB
CLE,SEA,0,2016,Progressive Field,"Cleveland, Ohio","9,890",,MLB
KC,DET,0,2016,Kauffman Stadium,"Kansas City, Missouri","28,928",,MLB
BAL,TOR,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","15,404",,MLB
NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","37,396",,MLB
PHI,NYM,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","20,057",,MLB
BOS,TB,1,2016,Fenway Park,"Boston, Massachusetts","31,689",,MLB
ATL,LAD,0,2016,Center Parc Stadium,"Atlanta, Georgia","16,087",,MLB
MIA,WSH,0,2016,Marlins Park,"Miami, Florida","16,961",,MLB
TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","25,821",,MLB
MIL,MIN,1,2016,Miller Park,"Milwaukee, Wisconsin","21,087",,MLB
SD,PIT,1,2016,Petco Park,"San Diego, California","20,681",,MLB
SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,497",,MLB
CLE,SEA,0,2016,Progressive Field,"Cleveland, Ohio","11,525",,MLB
ATL,LAD,0,2016,Center Parc Stadium,"Atlanta, Georgia","18,431",,MLB
MIA,WSH,1,2016,Marlins Park,"Miami, Florida","17,395",,MLB
BOS,TB,0,2016,Fenway Park,"Boston, Massachusetts","37,954",,MLB
MIL,MIN,0,2016,Miller Park,"Milwaukee, Wisconsin","30,107",,MLB
CHW,LAA,0,2016,Guaranteed Rate Field,"Chicago, Illinois","11,418",,MLB
SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,052",,MLB
BAL,TOR,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","17,644",,MLB
NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","33,818",,MLB
CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","16,497",,MLB
KC,DET,1,2016,Kauffman Stadium,"Kansas City, Missouri","30,763",,MLB
TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","25,886",,MLB
SD,PIT,0,2016,Petco Park,"San Diego, California","20,387",,MLB
SD,PIT,0,2016,Petco Park,"San Diego, California","20,387",,MLB
NYY,TB,1,2016,Yankee Stadium,"Bronx, New York","31,843",,MLB
WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","27,684",,MLB
TOR,OAK,0,2016,Rogers Centre,"Toronto, Ontario","34,251",,MLB
DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","25,086",,MLB
CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","25,940",,MLB
ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","21,173",,MLB
CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","15,486",,MLB
