,home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
0,PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","39,500",,MLB
1,TB,TOR,0,2016,Tropicana Field,"St. Petersburg, Florida","31,042",,MLB
2,KC,NYM,1,2016,Kauffman Stadium,"Kansas City, Missouri","40,030",,MLB
3,MIL,SF,0,2016,Miller Park,"Milwaukee, Wisconsin","44,318",,MLB
4,BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","45,785",,MLB
5,TEX,SEA,1,2016,Globe Life Park in Arlington,"Arlington, Texas","49,289",,MLB
6,ATL,WSH,0,2016,Center Parc Stadium,"Atlanta, Georgia","48,282",,MLB
7,CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","43,683",,MLB
8,SD,LAD,0,2016,Petco Park,"San Diego, California","44,317",,MLB
9,TB,TOR,0,2016,Tropicana Field,"St. Petersburg, Florida","15,116",,MLB
10,ARI,COL,0,2016,Chase Field,"Phoenix, Arizona","48,165",,MLB
11,LAA,CHC,0,2016,Angel Stadium,"Anaheim, California","44,020",,MLB
12,OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","35,067",,MLB
13,NYY,HOU,0,2016,Yankee Stadium,"Bronx, New York","47,820",,MLB
14,CLE,BOS,0,2016,Progressive Field,"Cleveland, Ohio","34,493",,MLB
15,KC,NYM,0,2016,Kauffman Stadium,"Kansas City, Missouri","39,782",,MLB
16,PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","26,049",,MLB
17,MIA,DET,0,2016,Marlins Park,"Miami, Florida","36,911",,MLB
18,TB,TOR,1,2016,Tropicana Field,"St. Petersburg, Florida","12,757",,MLB
19,TEX,SEA,0,2016,Globe Life Park in Arlington,"Arlington, Texas","28,386",,MLB
20,MIL,SF,0,2016,Miller Park,"Milwaukee, Wisconsin","24,123",,MLB
21,ARI,COL,1,2016,Chase Field,"Phoenix, Arizona","21,830",,MLB
22,LAA,CHC,0,2016,Angel Stadium,"Anaheim, California","37,042",,MLB
23,OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","10,478",,MLB
24,SD,LAD,0,2016,Petco Park,"San Diego, California","28,329",,MLB
25,TB,TOR,1,2016,Tropicana Field,"St. Petersburg, Florida","14,257",,MLB
26,MIL,SF,1,2016,Miller Park,"Milwaukee, Wisconsin","20,098",,MLB
27,TEX,SEA,0,2016,Globe Life Park in Arlington,"Arlington, Texas","26,945",,MLB
28,ARI,COL,0,2016,Chase Field,"Phoenix, Arizona","18,572",,MLB
29,MIA,DET,0,2016,Marlins Park,"Miami, Florida","17,883",,MLB
30,CLE,BOS,1,2016,Progressive Field,"Cleveland, Ohio","10,298",,MLB
31,CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","21,621",,MLB
32,BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","12,622",,MLB
33,NYY,HOU,1,2016,Yankee Stadium,"Bronx, New York","37,493",,MLB
34,PIT,STL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","14,890",,MLB
35,ATL,WSH,0,2016,Center Parc Stadium,"Atlanta, Georgia","18,531",,MLB
36,SD,LAD,0,2016,Petco Park,"San Diego, California","30,054",,MLB
37,OAK,CHW,1,2016,Oakland Coliseum,"Oakland, California","16,468",,MLB
38,CIN,PHI,1,2016,Great American Ball Park,"Cincinnati, Ohio","10,784",,MLB
39,OAK,CHW,0,2016,Oakland Coliseum,"Oakland, California","12,577",,MLB
40,NYY,HOU,1,2016,Yankee Stadium,"Bronx, New York","30,003",,MLB
41,WSH,MIA,0,2016,Nationals Park,"Washington, D.C.","41,650",,MLB
42,SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,940",,MLB
43,BAL,MIN,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","11,142",,MLB
44,ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","24,656",,MLB
45,LAA,TEX,1,2016,Angel Stadium,"Anaheim, California","39,089",,MLB
46,DET,NYY,1,2016,Comerica Park,"Detroit, Michigan","45,049",,MLB
47,NYM,PHI,1,2016,Citi Field,"Queens, New York","44,099",,MLB
48,CHW,CLE,0,2016,Guaranteed Rate Field,"Chicago, Illinois","38,019",,MLB
49,COL,SD,0,2016,Coors Field,"Denver, Colorado","49,360",,MLB
50,BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","17,304",,MLB
51,TOR,BOS,0,2016,Rogers Centre,"Toronto, Ontario","48,871",,MLB
52,CIN,PIT,0,2016,Great American Ball Park,"Cincinnati, Ohio","17,194",,MLB
53,ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","24,824",,MLB
54,MIL,HOU,1,2016,Miller Park,"Milwaukee, Wisconsin","30,100",,MLB
55,KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","27,166",,MLB
56,ARI,CHC,1,2016,Chase Field,"Phoenix, Arizona","27,539",,MLB
