home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
New England Revolution,Chicago Fire FC,1,2003,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,0,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,0,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,0,2008,Gillette Stadium,"Boston, Massachusetts","10,858",,MLS
New England Revolution,Chicago Fire FC,0,2008,Gillette Stadium,"Boston, Massachusetts","19,240",,MLS
New England Revolution,Chicago Fire FC,1,2009,Gillette Stadium,"Boston, Massachusetts","7,416",,MLS
New England Revolution,Chicago Fire FC,0,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chicago Fire FC,1,2012,Gillette Stadium,"Boston, Massachusetts","12,523",,MLS
New England Revolution,Chicago Fire FC,1,2012,Gillette Stadium,"Boston, Massachusetts","25,534",,MLS
New England Revolution,Chicago Fire FC,1,2013,Gillette Stadium,"Boston, Massachusetts","14,630",,MLS
New England Revolution,Chicago Fire FC,0,2014,Gillette Stadium,"Boston, Massachusetts","15,406",,MLS
New England Revolution,Chicago Fire FC,1,2014,Gillette Stadium,"Boston, Massachusetts","12,204",,MLS
New England Revolution,Chicago Fire FC,1,2015,Gillette Stadium,"Boston, Massachusetts","15,775",,MLS
New England Revolution,Chicago Fire FC,1,2016,Gillette Stadium,"Boston, Massachusetts","18,997",,MLS
New England Revolution,Chicago Fire FC,1,2016,Gillette Stadium,"Boston, Massachusetts","21,872",,MLS
New England Revolution,Chicago Fire FC,0,2017,Gillette Stadium,"Boston, Massachusetts","21,548",,MLS
New England Revolution,Chicago Fire FC,1,2019,Gillette Stadium,"Boston, Massachusetts","16,236",,MLS
New England Revolution,DC United,1,2003,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,0,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,0,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2008,Gillette Stadium,"Boston, Massachusetts","14,962",,MLS
New England Revolution,DC United,1,2009,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,0,2012,Gillette Stadium,"Boston, Massachusetts","10,389",,MLS
New England Revolution,DC United,1,2013,Gillette Stadium,"Boston, Massachusetts","19,187",,MLS
New England Revolution,DC United,1,2014,Gillette Stadium,"Boston, Massachusetts","13,589",,MLS
New England Revolution,DC United,1,2018,Gillette Stadium,"Boston, Massachusetts","19,371",,MLS
New England Revolution,DC United,1,2020,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2021,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,DC United,1,2021,Gillette Stadium,"Boston, Massachusetts","11,419",,MLS
New England Revolution,New York Red Bulls,1,2003,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2009,Gillette Stadium,"Boston, Massachusetts","11,183",,MLS
New England Revolution,New York Red Bulls,1,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2012,Gillette Stadium,"Boston, Massachusetts","14,373",,MLS
New England Revolution,New York Red Bulls,0,2014,Gillette Stadium,"Boston, Massachusetts","23,950",,MLS
New England Revolution,New York Red Bulls,1,2015,Gillette Stadium,"Boston, Massachusetts","18,296",,MLS
New England Revolution,New York Red Bulls,1,2015,Gillette Stadium,"Boston, Massachusetts","10,997",,MLS
New England Revolution,New York Red Bulls,1,2016,Gillette Stadium,"Boston, Massachusetts","11,849",,MLS
New England Revolution,New York Red Bulls,0,2017,Gillette Stadium,"Boston, Massachusetts","13,924",,MLS
New England Revolution,New York Red Bulls,1,2018,Gillette Stadium,"Boston, Massachusetts","21,576",,MLS
New England Revolution,New York Red Bulls,1,2019,Gillette Stadium,"Boston, Massachusetts","14,514",,MLS
New England Revolution,New York Red Bulls,1,2021,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,1,2021,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,New York Red Bulls,0,2022,Gillette Stadium,"Boston, Massachusetts","16,265",,MLS
New England Revolution,San Jose Earthquakes,0,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,San Jose Earthquakes,0,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,San Jose Earthquakes,0,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,San Jose Earthquakes,1,2008,Gillette Stadium,"Boston, Massachusetts","13,004",,MLS
New England Revolution,San Jose Earthquakes,1,2009,Gillette Stadium,"Boston, Massachusetts","7,286",,MLS
New England Revolution,San Jose Earthquakes,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,San Jose Earthquakes,1,2013,Gillette Stadium,"Boston, Massachusetts","13,732",,MLS
New England Revolution,San Jose Earthquakes,1,2015,Gillette Stadium,"Boston, Massachusetts","10,668",,MLS
New England Revolution,San Jose Earthquakes,1,2019,Gillette Stadium,"Boston, Massachusetts","20,610",,MLS
New England Revolution,Colorado Rapids,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Colorado Rapids,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Colorado Rapids,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Colorado Rapids,0,2008,Gillette Stadium,"Boston, Massachusetts","8,309",,MLS
New England Revolution,Colorado Rapids,0,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Colorado Rapids,1,2012,Gillette Stadium,"Boston, Massachusetts","6,149",,MLS
New England Revolution,Colorado Rapids,1,2014,Gillette Stadium,"Boston, Massachusetts","13,831",,MLS
New England Revolution,Colorado Rapids,1,2016,Gillette Stadium,"Boston, Massachusetts","15,046",,MLS
New England Revolution,Colorado Rapids,1,2018,Gillette Stadium,"Boston, Massachusetts","13,305",,MLS
New England Revolution,Colorado Rapids,1,2021,Gillette Stadium,"Boston, Massachusetts","10,199",,MLS
New England Revolution,FC Dallas,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,1,2008,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,1,2009,Gillette Stadium,"Boston, Massachusetts","11,314",,MLS
New England Revolution,FC Dallas,1,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,FC Dallas,0,2013,Gillette Stadium,"Boston, Massachusetts","10,284",,MLS
New England Revolution,FC Dallas,0,2016,Gillette Stadium,"Boston, Massachusetts","23,472",,MLS
New England Revolution,FC Dallas,0,2018,Gillette Stadium,"Boston, Massachusetts","11,508",,MLS
New England Revolution,FC Dallas,1,2022,Gillette Stadium,"Boston, Massachusetts","14,554",,MLS
New England Revolution,Chivas USA,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chivas USA,1,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chivas USA,1,2008,Gillette Stadium,"Boston, Massachusetts","7,606",,MLS
New England Revolution,Chivas USA,1,2009,Gillette Stadium,"Boston, Massachusetts","10,997",,MLS
New England Revolution,Chivas USA,0,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chivas USA,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Chivas USA,1,2014,Gillette Stadium,"Boston, Massachusetts","16,427",,MLS
New England Revolution,Real Salt Lake,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Real Salt Lake,0,2006,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Real Salt Lake,1,2009,Gillette Stadium,"Boston, Massachusetts","10,552",,MLS
New England Revolution,Real Salt Lake,0,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Real Salt Lake,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Real Salt Lake,0,2013,Gillette Stadium,"Boston, Massachusetts","8,040",,MLS
New England Revolution,Real Salt Lake,1,2015,Gillette Stadium,"Boston, Massachusetts","17,982",,MLS
New England Revolution,Real Salt Lake,1,2017,Gillette Stadium,"Boston, Massachusetts","21,096",,MLS
New England Revolution,Real Salt Lake,0,2022,Gillette Stadium,"Boston, Massachusetts","10,633",,MLS
New England Revolution,Toronto FC,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Toronto FC,1,2007,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Toronto FC,1,2008,Gillette Stadium,"Boston, Massachusetts","15,863",,MLS
New England Revolution,Toronto FC,1,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Toronto FC,0,2012,Gillette Stadium,"Boston, Massachusetts","12,180",,MLS
New England Revolution,Toronto FC,1,2013,Gillette Stadium,"Boston, Massachusetts","10,711",,MLS
New England Revolution,Toronto FC,0,2013,Gillette Stadium,"Boston, Massachusetts","11,543",,MLS
New England Revolution,Toronto FC,1,2014,Gillette Stadium,"Boston, Massachusetts","32,766",,MLS
New England Revolution,Toronto FC,1,2015,Gillette Stadium,"Boston, Massachusetts","21,362",,MLS
New England Revolution,Toronto FC,1,2017,Gillette Stadium,"Boston, Massachusetts","21,764",,MLS
New England Revolution,Toronto FC,1,2017,Gillette Stadium,"Boston, Massachusetts","19,303",,MLS
New England Revolution,Toronto FC,1,2018,Gillette Stadium,"Boston, Massachusetts","19,596",,MLS
New England Revolution,Toronto FC,0,2020,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Toronto FC,0,2021,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Seattle Sounders FC,1,2009,Gillette Stadium,"Boston, Massachusetts","15,961",,MLS
New England Revolution,Seattle Sounders FC,1,2010,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Seattle Sounders FC,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New England Revolution,Seattle Sounders FC,1,2014,Gillette Stadium,"Boston, Massachusetts","11,293",,MLS
New England Revolution,Seattle Sounders FC,1,2016,Gillette Stadium,"Boston, Massachusetts","21,456",,MLS
