home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
Orlando City SC,New England Revolution,1,2017,Exploria Stadium,"Orlando, Florida","23,018",,MLS
Toronto FC,New York Red Bulls,0,2022,BMO Field,"Toronto, Ontario","23,121",,MLS
Philadelphia Union,Real Salt Lake,0,2016,Subaru Park,"Philadelphia, Pennsylvania","18,091",,MLS
Philadelphia Union,Toronto FC,0,2015,Subaru Park,"Philadelphia, Pennsylvania","17,859",,MLS
Portland Timbers,New York Red Bulls,0,2015,Providence Park,"Portland, Oregon","21,144",,MLS
LAFC,Real Salt Lake,1,2019,Banc of California Stadium,"Los Angeles, California","22,023",,MLS
LAFC,Vancouver Whitecaps,1,2020,Banc of California Stadium,"Los Angeles, California",,,MLS
Seattle Sounders FC,Colorado Rapids,1,2009,Qwest Field,"Seattle, Washington","32,526",,MLS
Seattle Sounders FC,Chicago Fire FC,1,2013,CenturyLink Field,"Seattle, Washington","38,503",,MLS
FC Dallas,Colorado Rapids,1,2014,Toyota Stadium,"Dallas, Texas","16,209",,MLS
Minnesota United FC,Seattle Sounders FC,0,2022,Allianz Field,"Saint Paul, Minnesota",,,MLS
CF Montréal,New England Revolution,0,2017,Stade Saputo,"Montréal, Quebec","20,681",,MLS
Minnesota United FC,FC Dallas,0,2018,TCF Bank Stadium,"Saint Paul, Minnesota","22,345",,MLS
Portland Timbers,FC Dallas,1,2011,Providence Park,"Portland, Oregon",,,MLS
Real Salt Lake,Chivas USA,1,2008,Rice-Eccles Stadium,"Salt Lake City, Utah","14,719",,MLS
San Jose Earthquakes,Portland Timbers,0,2021,PayPal Park,"San Jose, California",,,MLS
New York Red Bulls,CF Montréal,0,2019,Red Bull Arena,"New York, New York","11,115",,MLS
Chicago Fire FC,Real Salt Lake,1,2006,Bridgeview Stadium,"Chicago, Illinois",,,MLS
New England Revolution,Chivas USA,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New York Red Bulls,Toronto FC,1,2007,Giants Stadium,"New York, New York",,,MLS
Chivas USA,Real Salt Lake,0,2012,Dignity Health Sports Park,"Los Angeles, California","13,816",,MLS
New York Red Bulls,Portland Timbers,1,2012,Red Bull Arena,"New York, New York","19,043",,MLS
DC United,NYCFC,1,2015,RFK Memorial Stadium,"Washington, D.C.","21,517",,MLS
Colorado Rapids,San Jose Earthquakes,0,2012,Dick's Sporting Goods Park,"Denver, Colorado","13,080",,MLS
DC United,FC Dallas,0,2010,RFK Memorial Stadium,"Washington, D.C.",,,MLS
DC United,Atlanta United FC,1,2019,Audi Field,"Washington, D.C.","16,942",,MLS
Real Salt Lake,Vancouver Whitecaps,1,2016,Rio Tinto Stadium,"Salt Lake City, Utah","19,720",,MLS
Real Salt Lake,Chicago Fire FC,0,2011,Rio Tinto Stadium,"Salt Lake City, Utah",,,MLS
Colorado Rapids,Minnesota United FC,1,2021,Dick's Sporting Goods Park,"Denver, Colorado",,,MLS
Seattle Sounders FC,Colorado Rapids,1,2014,CenturyLink Field,"Seattle, Washington","38,582",,MLS
Chivas USA,Vancouver Whitecaps,1,2013,Dignity Health Sports Park,"Los Angeles, California","8,354",,MLS
Portland Timbers,Colorado Rapids,1,2022,Providence Park,"Portland, Oregon","23,448",,MLS
Charlotte FC,Nashville SC,1,2022,Bank of America Stadium,"Charlotte, Norch Carolina",,,MLS
Atlanta United FC,Charlotte FC,1,2022,Mercedes-Benz Stadium,"Atlanta, Georgia","43,055",,MLS
San Jose Earthquakes,Toronto FC,1,2016,Earthquakes Stadium,"San Jose, California","18,000",,MLS
Colorado Rapids,Toronto FC,1,2016,Dick's Sporting Goods Park,"Denver, Colorado","10,772",,MLS
