team_id,team_name,city
1,Atlanta United FC,"Atlanta, Georgia"
2,Austin FC,"Austin, Texas"
3,CF Montréal,"Montréal, Quebec"
4,Charlotte FC,"Charlotte, Norch Carolina"
5,Chicago Fire FC,"Chicago, Illinois"
6,Chivas USA,"Los Angeles, California"
7,Colorado Rapids,"Denver, Colorado"
8,Columbus Crew ,"Columbus, Ohio"
9,DC United,"Washington, D.C."
10,FC Cincinnati,"Cincinnati, Ohio"
11,FC Dallas,"Dallas, Texas"
12,Houston Dynamo,"Houston, Texas"
13,Inter Miami CF,"Miami, Florida"
14,LA Galaxy ,"Los Angeles, California"
15,LAFC,"Los Angeles, California"
16,Minnesota United FC,"Saint Paul, Minnesota"
17,NYCFC,"New York, New York"
18,Nashville SC,"Nashville, Tennessee"
19,New England Revolution,"Boston, Massachusetts"
20,New York Red Bulls,"New York, New York"
21,Orlando City SC,"Orlando, Florida"
22,Philadelphia Union,"Philadelphia, Pennsylvania"
23,Portland Timbers,"Portland, Oregon"
24,Real Salt Lake,"Salt Lake City, Utah"
25,San Jose Earthquakes,"San Jose, California"
26,Seattle Sounders FC,"Seattle, Washington"
27,Sporting Kansas City,"Kansas City, Kansas"
27,Sporting Kansas City,"Kansas City, Kansas"
28,Toronto FC,"Toronto, Ontario"
29,Vancouver Whitecaps,"Vancouver, British Columbia"
