home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
New Orleans Pelicans,San Antonio Spurs,1,2022,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2021,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2021,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2021,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2020,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2020,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2020,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2019,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2019,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2013,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2013,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2012,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2012,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2011,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2011,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2010,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2010,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2009,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2009,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2008,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2008,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2007,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2006,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2006,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2005,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2005,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2005,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2004,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2004,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2003,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2018,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2018,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2017,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2017,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2016,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2016,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,0,2015,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2015,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2014,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
New Orleans Pelicans,San Antonio Spurs,1,2014,Smoothie King Center,"New Orleans, Louisiana",,17791.0,NBA
Utah Jazz,San Antonio Spurs,0,2022,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2021,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2020,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2020,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2019,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2019,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2013,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2013,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2012,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2011,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2011,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2011,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2011,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2010,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2010,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2009,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2009,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2008,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2007,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2007,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2006,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2006,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2006,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2006,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2005,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2005,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2004,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2004,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2003,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2003,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2018,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2018,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2017,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2017,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2016,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2016,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2015,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,0,2015,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2014,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Utah Jazz,San Antonio Spurs,1,2014,Vivint Smart Home Arena,"Salt Lake City, Utah",,20148.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2021,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2020,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2019,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2013,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2012,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2011,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2010,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2010,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2009,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2008,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2008,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2007,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2006,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2006,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2006,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2005,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2004,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2003,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2018,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2017,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2016,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,1,2015,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Cleveland Cavaliers,San Antonio Spurs,0,2014,Quicken Loans Arena,"Cleveland, Ohio",,20562.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2022,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2021,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2020,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2019,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2013,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2012,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2011,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2010,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2009,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2008,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2007,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2006,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2005,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2005,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2004,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2003,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2003,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2019,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2018,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,1,2017,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2016,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2015,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Philadelphia 76ers,San Antonio Spurs,0,2014,Wells Fargo Center,"Philadelphia, Pennsylvania",,21000.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2021,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2020,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2013,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2013,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2012,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2010,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,1,2009,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2008,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2007,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2006,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,1,2005,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,0,2004,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
Atlanta Hawks,San Antonio Spurs,1,2003,State Farm Arena,"Atlanta, Georgia",,18729.0,NBA
