home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
San Francisco 49ers,New York Giants,1,2003,Candlestick Park,"San Francisco, California",,"69,732",NFL
Atlanta Falcons,Carolina Panthers,0,2020,Mercedes-Benz Stadium,"Atlanta, Georgia",,71000,NFL
Cincinnati Bengals,Green Bay Packers,1,2013,Paycor Stadium,"Cincinnati, Ohio",,"65,515",NFL
Cleveland Browns,Carolina Panthers,0,2002,FirstEnergy Stadium,"Cleveland, Ohio",,"68,000",NFL
New York Giants,Los Angeles Chargers,0,2017,MetLife Stadium,"New York, New York",,"82,500",NFL
San Diego Chargers,Tennessee Titans,1,2012,Qualcomm Stadium,"San Diego, California",,"71,500",NFL
Arizona Cardinals,Pittsburgh Steelers,0,2009,State Farm Stadium,"Phoenix, Arizona",,"63,400",NFL
Minnesota Vikings,Green Bay Packers,0,2004,Mall of America Field,"Minneapolis, Minnesota",,"64,111",NFL
New England Patriots,Kansas City Chiefs,1,2008,Gillette Stadium,"Foxborough, Massachusetts",,"68,756",NFL
St. Louis Rams,Seattle Seahawks,0,2006,Edward Jones Dome,"St. Louis, Missouri",,66965,NFL
Tennessee Titans,Las Vegas Raiders,1,2007,Nissan Stadium,"Nashville, Tennessee",,"69,143",NFL
New York Giants,Carolina Panthers,0,2006,MetLife Stadium,"New York, New York",,"82,500",NFL
New Orleans Saints,Washington Commanders,1,2017,Caesars Superdome,"New Orleans, Louisiana",,"76,468",NFL
Arizona Cardinals,New Orleans Saints,1,2004,State Farm Stadium,"Phoenix, Arizona",,"63,400",NFL
Dallas Cowboys,Washington Commanders,1,2018,AT&T Stadium,"Dallas, Texas",,"80,000",NFL
Carolina Panthers,New Orleans Saints,0,2005,Bank of America Stadium,"Charlotte, North Carolina",,"73,778",NFL
Tennessee Titans,Dallas Cowboys,0,2006,Nissan Stadium,"Nashville, Tennessee",,"69,143",NFL
Philadelphia Eagles,Dallas Cowboys,1,2002,Lincoln Financial Field,"Philadelphia, Pennsylvania",,"69,176",NFL
San Diego Chargers,Los Angeles Rams,1,2014,Qualcomm Stadium,"San Diego, California",,"71,500",NFL
Miami Dolphins,New York Jets,0,2004,Hard Rock Stadium,"Miami, Florida",,"65,326",NFL
New York Giants,Philadelphia Eagles,0,2006,MetLife Stadium,"New York, New York",,"82,500",NFL
