home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
Chicago Blackhawks,Philadelphia Flyers,1,2016,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,1,2017,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2016,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,1,2014,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,1,2013,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2011,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,1,2008,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2003,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2006,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2019,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2019,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2019,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,Philadelphia Flyers,0,2019,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2018,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,1,2017,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,1,2016,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2018,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2016,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2015,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2016,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,1,2014,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2015,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2013,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,1,2013,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,1,2014,United Center,"Chicago, Illinois",,"23,500",NHL
Chicago Blackhawks,St Louis Blues,0,2013,United Center,"Chicago, Illinois",,"23,500",NHL
