home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
Phoenix Coyotes,Tampa Bay Lightning,0,2003,America West Arena,"Phoenix, Arizona",,"18,422",NHL
Tampa Bay Lightning,Buffalo Sabres,1,2013,Tampa Bay Times Forum,"Tampa Bay, Florida",,"21,500",NHL
Toronto Maple Leafs,Washington Capitals,0,2017,Air Canada Centre,"Toronto, Ontario",,"19,800",NHL
Phoenix Coyotes,Vancouver Canucks,1,2009,Jobing.com Arena,"Phoenix, Arizona",,"18,300",NHL
Edmonton Oilers,Calgary Flames,0,2007,Rexall Place,"Edmonton, Alberta",,"17,100",NHL
Columbus Blue Jackets,Calgary Flames,1,2009,Nationwide Arena,"Columbus, Ohio",,"18,500",NHL
Phoenix Coyotes,Anaheim Ducks,1,2005,Glendale Arena,"Phoenix, Arizona",,"18,300",NHL
Chicago Blackhawks,Boston Bruins,0,2019,Notre Dame Stadium,"Chicago, Illinois",,"77,622",NHL
Philadelphia Flyers,Ottawa Senators,0,2018,Wells Fargo Center,"Philadelphia, Pennsylvania",,"20,306",NHL
Philadelphia Flyers,Washington Capitals,1,2006,Wachovia Center,"Philadelphia, Pennsylvania",,"20,306",NHL
Edmonton Oilers,Chicago Blackhawks,1,2020,Rogers Place,"Edmonton, Alberta",,"18,500",NHL
Minnesota Wild,Edmonton Oilers,1,2019,Xcel Energy Center,"Saint Paul, Minnesota",,"20,554",NHL
Philadelphia Flyers,Atlanta Thrashers,1,2008,Wachovia Center,"Philadelphia, Pennsylvania",,"20,306",NHL
NY Rangers Rangers,Carolina Hurricanes,1,2019,Madison Square Garden,"New York, New York",,"20,789",NHL
Vancouver Canucks,Toronto Maple Leafs,1,2019,Rogers Arena,"Vancouver, British Columbia",,"19,700",NHL
Anaheim Ducks,Dallas Stars,0,2020,Honda Center,"Anaheim, California",,"18,336",NHL
New Jersey Devils,Tampa Bay Lightning,1,2008,Prudential Center,"Newark, New Jersey",,"19,500",NHL
Chicago Blackhawks,Phoenix Coyotes,0,2013,United Center,"Chicago, Illinois",,"23,500",NHL
Vancouver Canucks,Phoenix Coyotes,0,2003,General Motors Place,"Vancouver, British Columbia",,"19,700",NHL
St Louis Blues,Nashville Predators,1,2007,Scottrade Center,"St. Louis, Missouri",,"22,000",NHL
Detroit Red Wings,Boston Bruins,1,2009,Joe Louis Arena,"Detroit, Michigan",,"20,066",NHL
Phoenix Coyotes,Tampa Bay Lightning,1,2013,Jobing.com Arena,"Phoenix, Arizona",,"18,300",NHL
Colorado Avalanche,Calgary Flames,1,2015,Pepsi Center,"Denver, Colorado",,"21,000",NHL
Columbus Blue Jackets,Minnesota Wild,1,2003,Nationwide Arena,"Columbus, Ohio",,"18,500",NHL
Carolina Hurricanes,Arizona Coyotes,1,2020,PNC Arena,"Raleigh, North Carolina",,"20,000",NHL
Anaheim Ducks,Detroit Red Wings,0,2006,Arrowhead Pond,"Anaheim, California",,"18,336",NHL
Buffalo Sabres,Anaheim Ducks,0,2013,First Niagara Center,"Buffalo, New York",,"19,200",NHL
Nashville Predators,Detroit Red Wings,1,2007,Sommet Center,"Nashville, Tennessee",,"20,000",NHL
New Jersey Devils,NY Rangers Rangers,1,2007,Continental Airlines Arena,"Newark, New Jersey",,"20,049",NHL
Boston Bruins,Colorado Avalanche,0,2013,TD Garden,"Boston, Massachusetts",,"19,580",NHL
Calgary Flames,Philadelphia Flyers,1,2015,Scotiabank Saddledome,"Calgary, Alberta",,"19,289",NHL
Vancouver Canucks,Colorado Avalanche,0,2008,General Motors Place,"Vancouver, British Columbia",,"19,700",NHL
Edmonton Oilers,St Louis Blues,0,2009,Rexall Place,"Edmonton, Alberta",,"17,100",NHL
Dallas Stars,San Jose Sharks,1,2017,American Airlines Center,"Dallas, Texas",,"20,000",NHL
