team_id,team_name,city,elevation,median_regional_income
0,PIT,"Pittsburgh, Pennsylvania",1370,54306
1,TB,"St. Petersburg, Florida",44,64375
2,KC,"Kansas City, Missouri",910,60042
3,MIL,"Milwaukee, Wisconsin",617,45318
4,BAL,"Baltimore, Maryland",480,54124
5,TEX,"Arlington, Texas",604,65481
6,ATL,"Atlanta, Georgia",1050,69164
7,CIN,"Cincinnati, Ohio",959,45235
8,SD,"San Diego, California",1591,89457
9,ARI,"Phoenix, Arizona",1086,64927
10,LAA,"Anaheim, California",157,81806
11,OAK,"Oakland, California",43,85628
12,NYY,"Bronx, New York",280,43726
13,CLE,"Cleveland, Ohio",653,33678
14,MIA,"Miami, Florida",42,47860
15,WSH,"Washington, D.C.",409,93547
16,SF,"San Francisco, California",934,126187
17,DET,"Detroit, Michigan",656,34762
18,NYM,"Queens, New York",258,75886
19,CHW,"Chicago, Illinois",672,65781
20,COL,"Denver, Colorado",5680,78177
21,TOR,"Toronto, Ontario",251,39200
22,SEA,"Seattle, Washington",520,105391
23,BOS,"Boston, Massachusetts",46,81744
24,PHI,"Philadelphia, Pennsylvania",39,52649
25,MIN,"Minneapolis, Minnesota",830,70099
26,STL,"St. Louis, Missouri",614,48751
27,CHC,"Chicago, Illinois",672,65781
28,HOU,"Houston, Texas",80,56019
29,LAD,"Los Angeles, California",5075,69778
30,New England Revolution,"Boston, Massachusetts",46,81744
31,DC United,"Washington, D.C.",409,93547
32,Colorado Rapids,"Denver, Colorado",5680,78177
33,New York Red Bulls,"New York, New York",33,70663
34,FC Dallas,"Dallas, Texas",420,58231
35,Chivas USA,"Los Angeles, California",5075,69778
36,Real Salt Lake,"Salt Lake City, Utah",4265,65880
37,Toronto FC,"Toronto, Ontario",251,39200
38,San Jose Earthquakes,"San Jose, California",82,125075
39,Seattle Sounders FC,"Seattle, Washington",520,105391
40,Philadelphia Union,"Philadelphia, Pennsylvania",39,52649
41,Vancouver Whitecaps,"Vancouver, British Columbia",501,42000
42,Portland Timbers,"Portland, Oregon",1188,78476
43,CF Montréal,"Montréal, Quebec",764,36800
44,NYCFC,"New York, New York",33,70663
45,Orlando City SC,"Orlando, Florida",89,58968
46,Atlanta United FC,"Atlanta, Georgia",1050,69164
47,Minnesota United FC,"Saint Paul, Minnesota",787,63483
48,FC Cincinnati,"Cincinnati, Ohio",959,45235
49,Nashville SC,"Nashville, Tennessee",554,65565
50,Inter Miami CF,"Miami, Florida",42,47860
51,Chicago Fire FC,"Chicago, Illinois",672,65781
52,LAFC,"Los Angeles, California",5075,69778
53,Charlotte FC,"Charlotte, North Carolina",761,68367
54,Austin FC,"Austin, Texas",489,78965
55,New Orleans Pelicans,"New Orleans, Louisiana",20,45594
56,Utah Jazz,"Salt Lake City, Utah",4265,65880
57,Cleveland Cavaliers,"Cleveland, Ohio",653,33678
58,Philadelphia 76ers,"Philadelphia, Pennsylvania",39,52649
59,Atlanta Hawks,"Atlanta, Georgia",1050,69164
60,Boston Celtics,"Boston, Massachusetts",46,81744
61,Brooklyn Nets,"New York, New York",33,70663
62,New York Knicks,"New York, New York",33,70663
63,Houston Rockets,"Houston, Texas",80,56019
64,Minnesota Timberwolves,"Minneapolis, Minnesota",830,70099
65,Oklahoma City Thunder,"Oklahoma City, Oklahoma",1198,59679
66,Sacramento Kings,"Sacramento, California",26,71074
67,Los Angeles Clippers,"Los Angeles, California",5075,69778
68,Detroit Pistons,"Detroit, Michigan",656,34762
69,Miami Heat,"Miami, Florida",42,47860
70,Phoenix Suns,"Phoenix, Arizona",1086,64927
71,Denver Nuggets,"Denver, Colorado",5680,78177
72,Indiana Pacers,"Indianapolis, Indiana",718,54321
73,Toronto Raptors,"Toronto, Ontario",251,39200
74,Los Angeles Lakers,"Los Angeles, California",5075,69778
75,Milwaukee Bucks,"Milwaukee, Wisconsin",617,45318
76,Charlotte Hornets,"Charlotte, North Carolina",761,68367
77,Chicago Bulls,"Chicago, Illinois",672,65781
78,Dallas Mavericks,"Dallas, Texas",420,58231
79,Memphis Grizzlies,"Memphis, Tennessee",337,43981
80,Orlando Magic,"Orlando, Florida",89,58968
81,Washington Wizards,"Washington, D.C.",409,93547
82,Portland Trail Blazers,"Portland, Oregon",1188,78476
83,Golden State Warriors,"San Francisco, California",934,126187
84,San Antonio Spurs,"San Antonio, Texas",650,55084
