game_id,home_team_id,away_team_id,home_wins,year,stadium_id,attendance,league
0,0,26,1,2016,0,"39,500",MLB
1,1,21,0,2016,1,"31,042",MLB
2,2,18,1,2016,2,"40,030",MLB
3,3,16,0,2016,3,"44,318",MLB
4,4,25,1,2016,4,"45,785",MLB
5,5,22,1,2016,5,"49,289",MLB
6,6,15,0,2016,6,"48,282",MLB
7,7,24,1,2016,7,"43,683",MLB
8,8,29,0,2016,8,"44,317",MLB
9,1,21,0,2016,1,"15,116",MLB
10,9,20,0,2016,9,"48,165",MLB
11,10,27,0,2016,10,"44,020",MLB
12,11,19,0,2016,11,"35,067",MLB
13,12,28,0,2016,12,"47,820",MLB
14,13,23,0,2016,13,"34,493",MLB
15,2,18,0,2016,2,"39,782",MLB
16,0,26,1,2016,0,"26,049",MLB
17,14,17,0,2016,14,"36,911",MLB
18,1,21,1,2016,1,"12,757",MLB
19,5,22,0,2016,5,"28,386",MLB
20,3,16,0,2016,3,"24,123",MLB
21,9,20,1,2016,9,"21,830",MLB
22,10,27,0,2016,10,"37,042",MLB
23,11,19,0,2016,11,"10,478",MLB
24,8,29,0,2016,8,"28,329",MLB
25,1,21,1,2016,1,"14,257",MLB
26,3,16,1,2016,3,"20,098",MLB
27,5,22,0,2016,5,"26,945",MLB
28,9,20,0,2016,9,"18,572",MLB
29,14,17,0,2016,14,"17,883",MLB
30,13,23,1,2016,13,"10,298",MLB
31,7,24,1,2016,7,"21,621",MLB
32,4,25,1,2016,4,"12,622",MLB
33,12,28,1,2016,12,"37,493",MLB
34,0,26,1,2016,0,"14,890",MLB
35,6,15,0,2016,6,"18,531",MLB
36,8,29,0,2016,8,"30,054",MLB
37,11,19,1,2016,11,"16,468",MLB
38,7,24,1,2016,7,"10,784",MLB
39,11,19,0,2016,11,"12,577",MLB
40,12,28,1,2016,12,"30,003",MLB
41,15,14,0,2016,15,"41,650",MLB
42,16,29,1,2016,16,"41,940",MLB
43,4,25,1,2016,4,"11,142",MLB
44,9,27,0,2016,9,"24,656",MLB
45,10,5,1,2016,10,"39,089",MLB
46,17,12,1,2016,17,"45,049",MLB
47,18,24,1,2016,18,"44,099",MLB
48,19,13,0,2016,19,"38,019",MLB
49,20,8,0,2016,20,"49,360",MLB
50,4,1,1,2016,4,"17,304",MLB
51,21,23,0,2016,21,"48,871",MLB
52,7,0,0,2016,7,"17,194",MLB
53,6,26,0,2016,6,"24,824",MLB
54,3,28,1,2016,3,"30,100",MLB
55,2,25,1,2016,2,"27,166",MLB
56,9,27,1,2016,9,"27,539",MLB
57,10,5,0,2016,10,"35,207",MLB
58,22,11,0,2016,22,"47,065",MLB
59,16,29,1,2016,16,"41,742",MLB
60,21,23,0,2016,21,"47,138",MLB
61,17,12,0,2016,17,"32,419",MLB
62,7,0,1,2016,7,"22,799",MLB
63,19,13,1,2016,19,"20,192",MLB
64,16,29,0,2016,16,"41,224",MLB
65,3,28,0,2016,3,"28,127",MLB
66,6,26,0,2016,6,"33,471",MLB
67,18,24,0,2016,18,"37,083",MLB
68,2,25,1,2016,2,"31,001",MLB
69,20,8,0,2016,20,"35,177",MLB
70,9,27,0,2016,9,"32,185",MLB
71,10,5,0,2016,10,"38,106",MLB
72,22,11,0,2016,22,"36,424",MLB
73,21,23,1,2016,21,"46,158",MLB
74,7,0,1,2016,7,"27,207",MLB
75,18,24,0,2016,18,"37,233",MLB
76,4,1,1,2016,4,"23,101",MLB
77,6,26,0,2016,6,"23,214",MLB
78,15,14,1,2016,15,"24,593",MLB
79,4,1,1,2016,4,"23,101",MLB
80,3,28,1,2016,3,"28,441",MLB
81,2,25,1,2016,2,"35,317",MLB
82,10,5,1,2016,10,"35,097",MLB
83,16,29,1,2016,16,"41,656",MLB
84,22,11,0,2016,22,"30,834",MLB
85,20,8,1,2016,20,"27,587",MLB
86,9,27,0,2016,9,"33,258",MLB
87,17,0,0,2016,17,"26,271",MLB
88,23,4,0,2016,23,"37,160",MLB
89,24,8,0,2016,24,"45,229",MLB
90,25,19,0,2016,25,"40,638",MLB
91,26,3,1,2016,26,"47,608",MLB
92,18,14,0,2016,18,"24,318",MLB
93,15,6,1,2016,15,"18,119",MLB
94,27,7,1,2016,27,"40,882",MLB
95,28,2,1,2016,28,"43,332",MLB
96,11,10,0,2016,11,"13,371",MLB
97,22,5,0,2016,22,"13,468",MLB
98,17,0,1,2016,17,"26,489",MLB
99,29,9,0,2016,29,"53,279",MLB
100,15,6,1,2016,15,"18,378",MLB
101,24,8,1,2016,24,"21,043",MLB
102,21,12,0,2016,21,"28,819",MLB
103,23,4,0,2016,23,"31,114",MLB
104,18,14,0,2016,18,"28,923",MLB
105,1,13,1,2016,1,"10,283",MLB
106,28,2,0,2016,28,"21,027",MLB
107,20,16,0,2016,20,"20,814",MLB
108,11,10,0,2016,11,"13,492",MLB
109,22,5,0,2016,22,"13,376",MLB
110,18,14,1,2016,18,"22,113",MLB
111,11,10,0,2016,11,"11,216",MLB
112,22,5,1,2016,22,"15,075",MLB
113,23,4,1,2016,23,"31,011",MLB
114,15,6,1,2016,15,"19,400",MLB
115,24,8,1,2016,24,"17,638",MLB
116,0,17,0,2016,0,"21,175",MLB
117,21,12,1,2016,21,"27,938",MLB
118,1,13,0,2016,1,"10,117",MLB
119,27,7,1,2016,27,"36,496",MLB
120,25,19,0,2016,25,"21,008",MLB
121,28,2,0,2016,28,"24,109",MLB
122,26,3,0,2016,26,"40,994",MLB
123,20,16,1,2016,20,"21,891",MLB
124,29,9,1,2016,29,"44,244",MLB
125,0,17,0,2016,0,"18,751",MLB
126,24,8,1,2016,24,"18,079",MLB
127,25,19,0,2016,25,"19,736",MLB
128,1,13,0,2016,1,"10,715",MLB
129,26,3,1,2016,26,"40,168",MLB
130,20,16,1,2016,20,"21,226",MLB
131,15,6,1,2016,15,"21,144",MLB
132,21,12,1,2016,21,"36,238",MLB
133,27,7,1,2016,27,"34,898",MLB
134,5,4,1,2016,5,"22,820",MLB
135,28,2,0,2016,28,"21,203",MLB
136,29,9,1,2016,29,"40,879",MLB
137,27,20,0,2016,27,"34,437",MLB
138,12,22,0,2016,12,"35,531",MLB
139,24,15,0,2016,24,"22,624",MLB
140,0,3,0,2016,0,"24,280",MLB
141,23,21,1,2016,23,"31,415",MLB
142,13,18,0,2016,13,"15,365",MLB
143,14,6,0,2016,14,"18,071",MLB
144,1,19,0,2016,1,"16,801",MLB
145,5,4,0,2016,5,"32,628",MLB
146,25,10,1,2016,25,"22,461",MLB
147,28,17,1,2016,28,"30,092",MLB
148,26,7,1,2016,26,"44,997",MLB
149,11,2,0,2016,11,"19,451",MLB
150,29,16,1,2016,29,"53,449",MLB
151,8,9,0,2016,8,"28,955",MLB
152,12,22,0,2016,12,"38,574",MLB
153,25,10,1,2016,25,"27,464",MLB
154,26,7,0,2016,26,"44,425",MLB
155,27,20,1,2016,27,"41,702",MLB
156,23,21,1,2016,23,"36,267",MLB
157,11,2,1,2016,11,"25,564",MLB
158,13,18,1,2016,13,"20,165",MLB
159,1,19,1,2016,1,"30,451",MLB
160,24,15,0,2016,24,"30,320",MLB
161,0,3,1,2016,0,"34,957",MLB
162,28,17,0,2016,28,"30,013",MLB
163,14,6,0,2016,14,"33,123",MLB
164,5,4,1,2016,5,"39,493",MLB
165,8,9,1,2016,8,"34,051",MLB
166,29,16,0,2016,29,"53,409",MLB
167,12,22,1,2016,12,"43,856",MLB
168,13,18,0,2016,13,"17,621",MLB
169,14,6,0,2016,14,"24,780",MLB
170,1,19,1,2016,1,"21,810",MLB
171,23,21,0,2016,23,"37,217",MLB
172,24,15,1,2016,24,"37,378",MLB
173,0,3,1,2016,0,"31,124",MLB
174,25,10,1,2016,25,"25,932",MLB
175,28,17,1,2016,28,"30,657",MLB
176,26,7,1,2016,26,"46,268",MLB
177,27,20,0,2016,27,"41,678",MLB
178,11,2,1,2016,11,"29,668",MLB
179,8,9,0,2016,8,"30,520",MLB
180,29,16,1,2016,29,"48,911",MLB
181,23,21,0,2016,23,"37,168",MLB
182,24,18,0,2016,24,"21,585",MLB
183,7,20,0,2016,7,"12,777",MLB
184,14,15,1,2016,14,"16,112",MLB
185,26,27,0,2016,26,"45,432",MLB
186,19,10,0,2016,19,"14,706",MLB
