stadium_id,stadium_name,capacity
0,PNC Park,
1,Tropicana Field,
2,Kauffman Stadium,
3,Miller Park,
4,Oriole Park at Camden Yards,
5,Globe Life Park in Arlington,
6,Center Parc Stadium,
7,Great American Ball Park,
8,Petco Park,
9,Chase Field,
10,Angel Stadium,
11,Oakland Coliseum,
11,Oakland Coliseum,"53,250"
12,Yankee Stadium,
12,Yankee Stadium,"46,537"
13,Progressive Field,
14,Marlins Park,
15,Nationals Park,
15,Nationals Park,"41,313"
16,Oracle Park,
17,Comerica Park,
18,Citi Field,
18,Citi Field,"41,800"
19,Guaranteed Rate Field,
20,Coors Field,
20,Coors Field,"50,398"
21,Rogers Centre,
22,T-Mobile Park,
23,Fenway Park,
23,Fenway Park,"37,755"
24,Citizens Bank Park,
24,Citizens Bank Park,"42,901"
25,Target Field,
26,Busch Stadium,
26,Busch Stadium,"46,000"
27,Wrigley Field,
27,Wrigley Field,"41,649"
28,Minute Maid Park,
29,Dodger Stadium,
29,Dodger Stadium,"56,000"
30,American Family Field,
31,Truist Park,
32,loanDepot park,
33,PNC ParkTBD,
34,Globe Life Field,
35,Gillette Stadium,
35,Gillette Stadium,"68,756"
35,Gillette Stadium,"65,878"
36,RFK Memorial Stadium,
37,Audi Field,
38,Sports Authority Field at Mile High,
39,Dick's Sporting Goods Park,
40,Giants Stadium,
41,Red Bull Arena,
42,Dragon Stadium,
43,Cotton Bowl,
44,Pizza Hut Park,
45,Toyota Stadium,
46,Toyota Field,
47,Dignity Health Sports Park,
48,StubHub Center,
48,StubHub Center,"27,000"
49,Rice-Eccles Stadium,
50,Rio Tinto Stadium,
51,BMO Field,
51,BMO Field,"45,736"
52,Sin confirmar,
53,Pratt & Whitney Stadium at Rentschler Field,
54,Exploria Stadium,
55,McAfee Coliseum,
56,Buck Shaw Stadium,
57,Earthquakes Stadium,
58,PayPal Park,
59,Levi's Stadium,
59,Levi's Stadium,"68,500"
60,Qwest Field,
61,CenturyLink Field,
62,Lumen Field,
62,Lumen Field,"67,000"
63,Subaru Park,
64,Empire Field,
65,BC Place,
65,BC Place,"54,500"
66,Providence Park,
67,Stade Saputo,
