team_id,team_name,city
0,PIT,"Pittsburgh, Pennsylvania"
1,TB,"St. Petersburg, Florida"
2,KC,"Kansas City, Missouri"
3,MIL,"Milwaukee, Wisconsin"
4,BAL,"Baltimore, Maryland"
5,TEX,"Arlington, Texas"
6,ATL,"Atlanta, Georgia"
7,CIN,"Cincinnati, Ohio"
8,SD,"San Diego, California"
9,ARI,"Phoenix, Arizona"
10,LAA,"Anaheim, California"
11,OAK,"Oakland, California"
12,NYY,"Bronx, New York"
13,CLE,"Cleveland, Ohio"
14,MIA,"Miami, Florida"
15,WSH,"Washington, D.C."
16,SF,"San Francisco, California"
17,DET,"Detroit, Michigan"
18,NYM,"Queens, New York"
19,CHW,"Chicago, Illinois"
20,COL,"Denver, Colorado"
21,TOR,"Toronto, Ontario"
22,SEA,"Seattle, Washington"
23,BOS,"Boston, Massachusetts"
24,PHI,"Philadelphia, Pennsylvania"
25,MIN,"Minneapolis, Minnesota"
26,STL,"St. Louis, Missouri"
27,CHC,"Chicago, Illinois"
28,HOU,"Houston, Texas"
29,LAD,"Los Angeles, California"
30,New England Revolution,"Boston, Massachusetts"
31,DC United,"Washington, D.C."
32,Colorado Rapids,"Denver, Colorado"
33,New York Red Bulls,"New York, New York"
34,FC Dallas,"Dallas, Texas"
35,Chivas USA,"Los Angeles, California"
36,Real Salt Lake,"Salt Lake City, Utah"
37,Toronto FC,"Toronto, Ontario"
38,San Jose Earthquakes,"San Jose, California"
39,Seattle Sounders FC,"Seattle, Washington"
40,Philadelphia Union,"Philadelphia, Pennsylvania"
41,Vancouver Whitecaps,"Vancouver, British Columbia"
42,Portland Timbers,"Portland, Oregon"
43,CF Montréal,"Montréal, Quebec"
44,NYCFC,"New York, New York"
45,Orlando City SC,"Orlando, Florida"
46,Atlanta United FC,"Atlanta, Georgia"
47,Minnesota United FC,"Saint Paul, Minnesota"
48,FC Cincinnati,"Cincinnati, Ohio"
49,Nashville SC,"Nashville, Tennessee"
50,Inter Miami CF,"Miami, Florida"
51,Chicago Fire FC,"Chicago, Illinois"
52,LAFC,"Los Angeles, California"
53,Charlotte FC,"Charlotte, North Carolina"
54,Austin FC,"Austin, Texas"
55,New Orleans Pelicans,"New Orleans, Louisiana"
56,Utah Jazz,"Salt Lake City, Utah"
57,Cleveland Cavaliers,"Cleveland, Ohio"
58,Philadelphia 76ers,"Philadelphia, Pennsylvania"
59,Atlanta Hawks,"Atlanta, Georgia"
60,Boston Celtics,"Boston, Massachusetts"
61,Brooklyn Nets,"New York, New York"
62,New York Knicks,"New York, New York"
63,Houston Rockets,"Houston, Texas"
64,Minnesota Timberwolves,"Minneapolis, Minnesota"
65,Oklahoma City Thunder,"Oklahoma City, Oklahoma"
66,Sacramento Kings,"Sacramento, California"
67,Los Angeles Clippers,"Los Angeles, California"
68,Detroit Pistons,"Detroit, Michigan"
69,Miami Heat,"Miami, Florida"
70,Phoenix Suns,"Phoenix, Arizona"
71,Denver Nuggets,"Denver, Colorado"
72,Indiana Pacers,"Indianapolis, Indiana"
73,Toronto Raptors,"Toronto, Ontario"
74,Los Angeles Lakers,"Los Angeles, California"
75,Milwaukee Bucks,"Milwaukee, Wisconsin"
76,Charlotte Hornets,"Charlotte, North Carolina"
77,Chicago Bulls,"Chicago, Illinois"
78,Dallas Mavericks,"Dallas, Texas"
79,Memphis Grizzlies,"Memphis, Tennessee"
80,Orlando Magic,"Orlando, Florida"
81,Washington Wizards,"Washington, D.C."
82,Portland Trail Blazers,"Portland, Oregon"
83,Golden State Warriors,"San Francisco, California"
84,San Antonio Spurs,"San Antonio, Texas"
85,New York Giants,"New York, New York"
86,Buffalo Bills,"Buffalo, New York"
87,Chicago Bears,"Chicago, Illinois"
88,Cincinnati Bengals,"Cincinnati, Ohio"
89,Cleveland Browns,"Cleveland, Ohio"
90,Green Bay Packers,"Green Bay, Wisconsin"
91,Tennessee Titans,"Nashville, Tennessee"
92,Miami Dolphins,"Miami, Florida"
93,Washington Commanders,"Washington, D.C."
94,Carolina Panthers,"Charlotte, North Carolina"
95,Jacksonville Jaguars,"Jacksonville, Florida"
96,Denver Broncos,"Denver, Colorado"
97,Oakland Raiders,"Oakland, California"
98,Tampa Bay Buccaneers,"Tampa Bay, Florida"
99,Houston Texans,"Houston, Texas"
100,New England Patriots,"Foxborough, Massachusetts"
101,Atlanta Falcons,"Atlanta, Georgia"
