team_id,team_name,city
82,Portland Trail Blazers,"Portland, Oregon"
98,Tampa Bay Buccaneers,"Tampa Bay, Florida"
0,PIT,"Pittsburgh, Pennsylvania"
134,St Louis Blues,"St. Louis, Missouri"
101,Atlanta Falcons,"Atlanta, Georgia"
9,ARI,"Phoenix, Arizona"
120,Chicago Blackhawks,"Chicago, Illinois"
18,NYM,"Queens, New York"
43,CF Montréal,"Montréal, Quebec"
145,Toronto Maple Leafs,"Toronto, Ontario"
107,Baltimore Ravens,"Baltimore, Maryland"
121,Buffalo Sabres,"Buffalo, New York"
139,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
26,STL,"St. Louis, Missouri"
28,HOU,"Houston, Texas"
110,Minnesota Vikings,"Minneapolis, Minnesota"
66,Sacramento Kings,"Sacramento, California"
93,Washington Commanders,"Washington, D.C."
127,Dallas Stars,"Dallas, Texas"
78,Dallas Mavericks,"Dallas, Texas"
117,Los Angeles Rams,"Los Angeles, California"
88,Cincinnati Bengals,"Cincinnati, Ohio"
12,NYY,"Bronx, New York"
4,BAL,"Baltimore, Maryland"
105,New Orleans Saints,"New Orleans, Louisiana"
2,KC,"Kansas City, Missouri"
64,Minnesota Timberwolves,"Minneapolis, Minnesota"
91,Tennessee Titans,"Nashville, Tennessee"
11,OAK,"Oakland, California"
131,Nashville Predators,"Nashville, Tennessee"
5,TEX,"Arlington, Texas"
75,Milwaukee Bucks,"Milwaukee, Wisconsin"
89,Cleveland Browns,"Cleveland, Ohio"
84,San Antonio Spurs,"San Antonio, Texas"
21,TOR,"Toronto, Ontario"
27,CHC,"Chicago, Illinois"
74,Los Angeles Lakers,"Los Angeles, California"
108,St. Louis Rams,"St. Louis, Missouri"
141,Columbus Blue Jackets,"Columbus, Ohio"
53,Charlotte FC,"Charlotte, Norch Carolina"
83,Golden State Warriors,"San Francisco, California"
143,Montreal Canadiens,"Montréal, Quebec"
147,NY Rangers Rangers,"New York, New York"
149,New Jersey Devils,"Newark, New Jersey"
49,Nashville SC,"Nashville, Tennessee"
118,Los Angeles Chargers,"Los Angeles, California"
31,DC United,"Washington, D.C."
129,Calgary Flames,"Calgary, Alberta"
71,Denver Nuggets,"Denver, Colorado"
39,Seattle Sounders FC,"Seattle, Washington"
104,Kansas City Chiefs,"Kansas City, Missouri"
25,MIN,"Minneapolis, Minnesota"
56,Utah Jazz,"Salt Lake City, Utah"
97,Oakland Raiders,"Oakland, California"
72,Indiana Pacers,"Indianapolis, Indiana"
111,San Diego Chargers,"San Diego, California"
47,Minnesota United FC,"Saint Paul, Minnesota"
99,Houston Texans,"Houston, Texas"
100,New England Patriots,"Foxborough, Massachusetts"
44,NYCFC,"New York, New York"
23,BOS,"Boston, Massachusetts"
59,Atlanta Hawks,"Atlanta, Georgia"
135,Vegas Golden Knights,"Las Vegas, Nevada"
60,Boston Celtics,"Boston, Massachusetts"
38,San Jose Earthquakes,"San Jose, California"
67,Los Angeles Clippers,"Los Angeles, California"
45,Orlando City SC,"Orlando, Florida"
92,Miami Dolphins,"Miami, Florida"
102,Dallas Cowboys,"Dallas, Texas"
32,Colorado Rapids,"Denver, Colorado"
40,Philadelphia Union,"Philadelphia, Pennsylvania"
133,Vancouver Canucks,"Vancouver, British Columbia"
46,Atlanta United FC,"Atlanta, Georgia"
150,Phoenix Coyotes,"Phoenix, Arizona"
42,Portland Timbers,"Portland, Oregon"
24,PHI,"Philadelphia, Pennsylvania"
122,Winnipeg Jets,"Winnipeg, Manitoba"
37,Toronto FC,"Toronto, Ontario"
10,LAA,"Anaheim, California"
41,Vancouver Whitecaps,"Vancouver, British Columbia"
61,Brooklyn Nets,"New York, New York"
90,Green Bay Packers,"Green Bay, Wisconsin"
94,Carolina Panthers,"Charlotte, North Carolina"
65,Oklahoma City Thunder,"Oklahoma City, Oklahoma"
15,WSH,"Washington, D.C."
112,San Francisco 49ers,"San Francisco, California"
76,Charlotte Hornets,"Charlotte, North Carolina"
70,Phoenix Suns,"Phoenix, Arizona"
132,Tampa Bay Lightning,"Tampa Bay, Florida"
95,Jacksonville Jaguars,"Jacksonville, Florida"
109,Seattle Seahawks,"Seattle, Washington"
69,Miami Heat,"Miami, Florida"
137,Anaheim Ducks,"Anaheim, California"
14,MIA,"Miami, Florida"
148,Philadelphia Flyers,"Philadelphia, Pennsylvania"
8,SD,"San Diego, California"
124,Minnesota Wild,"Saint Paul, Minnesota"
1,TB,"St. Petersburg, Florida"
86,Buffalo Bills,"Buffalo, New York"
140,San Jose Sharks,"San Jose, California"
